==4512== Lackey, an example Valgrind tool
==4512== Copyright (C) 2002-2015, and GNU GPL'd, by Nicholas Nethercote.
==4512== Using Valgrind-3.11.0 and LibVEX; rerun with -h for copyright info
==4512== Command: ./quicksort
 L ffeffff68,8
I  040196b7,3
I  040196ba,2
I  04019688,4
I  0401968c,4
I  04019690,2
I  04019692,4
 L 0401f118,4
I  04019696,3
I  04019699,2
I  04019830,3
 L ffeffff70,4
I  04019833,5
I  040196b0,4
I  040196b4,3
 L ffeffff78,8
I  040196b7,3
I  040196ba,2
I  04019688,4
I  0401968c,4
I  04019690,2
I  04019692,4
 L 0401f120,4
I  04019696,3
I  04019699,2
I  040196b0,4
I  040196b4,3
 L ffeffff88,8
I  040196b7,3
I  040196ba,2
I  04019688,4
I  0401968c,4
I  04019690,2
I  04019692,4
 L 0401f124,4
I  04019696,3
I  04019699,2
I  040196b0,4
I  040196b4,3
 L ffeffff98,8
I  040196b7,3
I  040196ba,2
I  04019688,4
I  0401968c,4
I  04019690,2
I  04019692,4
 L 0401f128,4
I  04019696,3
I  04019699,2
I  04019800,4
 L ffeffffa0,8
I  04019804,6
I  0401980a,5
I  040196b0,4
I  040196b4,3
 L ffeffffa8,8
I  040196b7,3
I  040196ba,2
I  04019688,4
I  0401968c,4
I  04019690,2
I  04019692,4
 L 0401f130,4
I  04019696,3
I  04019699,2
I  040196b0,4
I  040196b4,3
 L ffeffffb8,8
I  040196b7,3
I  040196ba,2
I  04019688,4
I  0401968c,4
I  04019690,2
